SS,Pos10wrtsRNAStart,DistTerm,Distance,sameStrand,DownDistance,sameDownStrand
-9,-28,343,0,0,0,0
-94,-95,407,0,1,0,1
-9.5,20,119,0,1,0,1
-9.7,-101,382,0,1,0,1
-9.7,-105,687,0,1,0,1
-9.7,-92,1000,0,0,0,0
-9.8,-100,1000,0,1,0,1
-9.8,29,499,0,1,0,1
-9.8,-91,1000,0,1,0,1
-99,-1000,9,0,1,0,1
-9.9,-41,1000,0,1,0,1
